"","ID","RegionName","NVotes","Leave","Residents","Households","AdultMeanAge","White","Owned","OwnedOutright","SocialRent","PrivateRent","Students","Unemp","UnempRate_EA","HigherOccup","Density","Deprived","MultiDepriv","Proportion","Vote","Age_18to44","Age_45_above","non_white","high_education_level","low_education_level","High_education_level","Low_education_level"
"93",93,"EE",5399,2960,10640,4756,44.3,92.9,48.3,15.6,32.8,17.8,3.5,6.2,8.4,24.3,19.3,62.1,27.8,0.548249675865901,"Leave",43.3,35.3,6.6,17.6,26.8,17.6,26.8
"94",94,"L",4487,2169,11219,3414,46.1,27.4,76.1,31.1,3.3,18.3,8.2,4.3,6,35,65.2,59.1,21.7,0.483396478716291,"Remain",39,40.4,121,34.1,17.9,34.1,17.9
"95",95,"L",5873,2906,13495,3630,42.7,6.3,56.3,25.5,13.3,27.1,11.8,6.1,9.6,17.4,85.3,81.4,46.1,0.494806742720926,"Remain",45.1,30.9,151.3,21.9,23.8,21.9,23.8
"96",96,"Y",7355,4901,18020,7344,46.1,87.2,60.6,18.5,22.2,15.8,3.2,6.8,9.7,21.1,46.9,66.3,32.2,0.666349422161795,"Leave",36.3,37.2,17.9,13.8,31.9,13.8,31.9
"97",97,"Y",6296,3576,20704,7154,42.4,42.7,56.3,22.5,18,22.9,6.5,9.3,15.4,14,39.8,77.4,43.6,0.567979669631512,"Leave",41.3,26.1,91.6,12.6,37.7,12.6,37.7
"98",98,"WM",7914,4682,12210,5121,52.1,92,86.2,39.3,6.4,6.3,3,3.3,4.7,40.1,18,51.9,20.4,0.591609805408137,"Leave",29.5,52.4,11.5,28,21.5,28,21.5
"99",99,"L",6899,4347,12886,5114,52.4,95.2,90.1,39.3,2,7.1,3.2,2.5,3.5,43.8,5.9,48.5,15.3,0.630091317582258,"Leave",28.9,51.7,5.3,27.9,19,27.9,19
"100",100,"EE",2455,1282,3393,1376,51.7,97.5,78.6,34.9,9.9,9.3,2.7,2.2,3.1,46.6,0.4,42.6,13.4,0.522199592668024,"Leave",25.8,53.4,2.4,37.4,15.5,37.4,15.5
"101",101,"NW",8548,4021,15834,6673,50.9,97.6,78.5,30.7,10.9,9.5,3.3,3.7,5.3,37.2,16.8,55.2,24.1,0.470402433317735,"Remain",30.8,47.4,2.5,27.7,20.6,27.7,20.6
"102",102,"EE",4796,1909,7546,3060,51.4,86.8,69,32.6,20.1,9.6,3.9,3.2,4.6,48.2,16.8,48.5,16.6,0.398040033361134,"Remain",29.4,48.5,16.8,40.2,15.8,40.2,15.8
"103",103,"L",7910,3944,14355,5609,49,69.1,71.3,27.3,20.6,6.9,4.6,4.6,6.5,37.1,52.6,56.8,21.5,0.498609355246523,"Remain",32,44.3,34,27.1,19.1,27.1,19.1
"104",104,"NW",6006,3829,12758,5439,47.1,95.4,61.4,18.9,26.7,11,3,5.9,8.6,26.7,23.3,61.9,30.9,0.637529137529138,"Leave",35.8,40.3,6.1,18.1,27.9,18.1,27.9
"105",105,"L",5506,1668,11538,5307,39.1,70.7,28.1,11.3,43.7,26.1,19.3,4.3,6.4,54.8,126.6,60.4,26.5,0.302942244823829,"Remain",58.6,27.7,28.1,47.9,15.1,47.9,15.1
"106",106,"EE",5061,1149,9290,3873,38.7,84.4,44,16.2,13.4,41.1,18.3,2.2,2.9,56.6,64.1,45.6,17.4,0.227030231179609,"Remain",61.1,24.9,15.7,55,10.7,55,10.7
"107",107,"EE",2728,1155,8588,2813,42.2,40.2,55.2,20.7,15.5,26.7,7.3,7.1,10.9,20.5,48,67.7,32.6,0.423387096774194,"Remain",43.5,26.4,87.1,19.5,28.7,19.5,28.7
"108",108,"Y",6800,4620,12569,5293,48.5,98.1,72.5,25.1,11.5,14.8,2.2,5.3,7.7,29.2,3.6,60.2,27.9,0.679411764705882,"Leave",34.4,43.7,2.1,19.9,27.7,19.9,27.7
"109",109,"EM",2162,1536,4867,2081,50.8,99.1,79.6,37.6,10.5,9.2,2.2,4,5.8,22.9,9.4,61.2,29.5,0.7104532839963,"Leave",31.6,50.7,0.9,14.8,32.1,14.8,32.1
"110",110,"Y",6971,4116,16433,6372,46.5,67.4,74.6,26,5.6,18.3,4.6,6.5,9.2,23.7,50.7,65.7,30.4,0.590446133983647,"Leave",36.9,37.5,48.6,17.4,28,17.4,28
"111",111,"NW",7651,3582,13008,5653,49.9,91.6,80.1,29.2,8.5,10.3,3.3,3.3,4.6,40.5,39.3,53.6,21.5,0.468174094889557,"Remain",33.2,46.3,10.2,30.8,18.9,30.8,18.9
"112",112,"L",5012,1512,16034,5578,40.7,58.8,28.4,10.8,28.3,40.2,9,6.3,9.2,28.4,127.3,72.4,36.5,0.301675977653631,"Remain",46.2,24.5,34.5,29,24.4,29,24.4
